retriever,judge,ndcg@10,map@10,recall@100,n_judged_queries
BM25,Human,0.3055,0.2206,0.7634,960
BM25,Qwen2.5-7B,0.2833,0.1864,0.7003,960
BM25,DeepSeek-V3,0.298,0.1911,0.7124,960
BM25,ChatGPT,0.2739,0.1811,0.6956,960
BM25,Llama3-default,0.2617,0.1393,0.6217,960
BM25,Llama3-strict,0.2814,0.1665,0.6668,960
BM25,Llama3-vllm-fs-basic,0.282,0.1886,0.7033,960
BM25,Llama3-vllm-fs-bing,0.2734,0.1883,0.6948,960
BM25,Llama3-vllm-zs-basic,0.2913,0.1829,0.7007,960
BM25,Gemma2-vllm-zs-bing,0.2839,0.1746,0.6893,960
BM25,Gemma2-vllm-zs-bing-strict,0.276,0.1571,0.6501,960
BGE-M3,Human,0.5604,0.4529,0.9047,960
BGE-M3,Qwen2.5-7B,0.5687,0.4107,0.8681,960
BGE-M3,DeepSeek-V3,0.5805,0.3769,0.8644,960
BGE-M3,ChatGPT,0.5579,0.3905,0.8642,960
BGE-M3,Llama3-default,0.4684,0.2919,0.7604,960
BGE-M3,Llama3-strict,0.5251,0.3338,0.8132,960
BGE-M3,Llama3-vllm-fs-basic,0.5431,0.4104,0.859,960
BGE-M3,Llama3-vllm-fs-bing,0.5468,0.4272,0.8465,960
BGE-M3,Llama3-vllm-zs-basic,0.5397,0.3734,0.8515,960
BGE-M3,Gemma2-vllm-zs-bing,0.553,0.3598,0.8426,960
BGE-M3,Gemma2-vllm-zs-bing-strict,0.5207,0.3168,0.8006,960
Qwen-embed,Human,0.0066,0.0041,0.0406,960
Qwen-embed,Qwen2.5-7B,0.0058,0.0031,0.0341,960
Qwen-embed,DeepSeek-V3,0.0064,0.0036,0.0335,960
Qwen-embed,ChatGPT,0.0057,0.0034,0.0331,960
Qwen-embed,Llama3-default,0.0062,0.0025,0.026,960
Qwen-embed,Llama3-strict,0.0068,0.003,0.0297,960
Qwen-embed,Llama3-vllm-fs-basic,0.0068,0.0037,0.0362,960
Qwen-embed,Llama3-vllm-fs-bing,0.0068,0.0034,0.0406,960
Qwen-embed,Llama3-vllm-zs-basic,0.007,0.0034,0.0325,960
Qwen-embed,Gemma2-vllm-zs-bing,0.0063,0.0032,0.0326,960
Qwen-embed,Gemma2-vllm-zs-bing-strict,0.006,0.003,0.0299,960
Qwen3-embed,Human,0.4958,0.3913,0.8508,960
Qwen3-embed,Qwen2.5-7B,0.4988,0.3392,0.8047,960
Qwen3-embed,DeepSeek-V3,0.5063,0.3103,0.7909,960
Qwen3-embed,ChatGPT,0.4827,0.3193,0.7914,960
Qwen3-embed,Llama3-default,0.394,0.2285,0.6806,960
Qwen3-embed,Llama3-strict,0.4508,0.2674,0.7377,960
Qwen3-embed,Llama3-vllm-fs-basic,0.4726,0.3442,0.8073,960
Qwen3-embed,Llama3-vllm-fs-bing,0.4848,0.3677,0.7984,960
Qwen3-embed,Llama3-vllm-zs-basic,0.4618,0.3047,0.781,960
Qwen3-embed,Gemma2-vllm-zs-bing,0.4763,0.2912,0.7657,960
Qwen3-embed,Gemma2-vllm-zs-bing-strict,0.4446,0.2525,0.7179,960
Hybrid-BGE,Human,0.5175,0.4027,0.9154,960
Hybrid-BGE,Qwen2.5-7B,0.5062,0.3625,0.8754,960
Hybrid-BGE,DeepSeek-V3,0.5233,0.3595,0.8797,960
Hybrid-BGE,ChatGPT,0.4893,0.3505,0.871,960
Hybrid-BGE,Llama3-default,0.456,0.2825,0.7779,960
Hybrid-BGE,Llama3-strict,0.4897,0.3203,0.8308,960
Hybrid-BGE,Llama3-vllm-fs-basic,0.495,0.3625,0.8724,960
Hybrid-BGE,Llama3-vllm-fs-bing,0.4906,0.3726,0.8537,960
Hybrid-BGE,Llama3-vllm-zs-basic,0.5041,0.3512,0.8684,960
Hybrid-BGE,Gemma2-vllm-zs-bing,0.5052,0.3412,0.8576,960
Hybrid-BGE,Gemma2-vllm-zs-bing-strict,0.4828,0.3064,0.8152,960
Hybrid-Qwen3,Human,0.4603,0.3502,0.8792,960
Hybrid-Qwen3,Qwen2.5-7B,0.4499,0.307,0.8276,960
Hybrid-Qwen3,DeepSeek-V3,0.4642,0.3023,0.8297,960
Hybrid-Qwen3,ChatGPT,0.4324,0.2946,0.8211,960
Hybrid-Qwen3,Llama3-default,0.393,0.2282,0.7265,960
Hybrid-Qwen3,Llama3-strict,0.4299,0.2669,0.781,960
Hybrid-Qwen3,Llama3-vllm-fs-basic,0.439,0.3096,0.8332,960
Hybrid-Qwen3,Llama3-vllm-fs-bing,0.4387,0.3211,0.8172,960
Hybrid-Qwen3,Llama3-vllm-zs-basic,0.4425,0.2953,0.8205,960
Hybrid-Qwen3,Gemma2-vllm-zs-bing,0.4418,0.2811,0.8073,960
Hybrid-Qwen3,Gemma2-vllm-zs-bing-strict,0.422,0.2533,0.7588,960
