judge,kappa,n_pairs,llm_pos_rate,human_pos_rate
sahabat-gemma_vllm_fewshot_basic_test,0.3121057611942565,9668,0.5357,0.3194
sahabat-gemma_vllm_fewshot_bing_test,0.38433554578774864,9668,0.4162,0.3194
sahabat-gemma_vllm_zeroshot_basic_test,0.36277578749395256,9668,0.4536,0.3194
sahabat-gemma_vllm_zeroshot_bing_strict_test,0.3753289641851112,9668,0.4529,0.3194
sahabat-gemma_vllm_zeroshot_bing_test,0.3777714549441208,9668,0.4103,0.3194
sahabat-gemma_zeroshot_basic_test,0.3491019529656303,2151,0.2966,0.3296
sahabat-llama_vllm_fewshot_basic_test,0.3328423616549402,9668,0.4489,0.3194
sahabat-llama_vllm_fewshot_bing_test,0.34148509808344507,9668,0.349,0.3194
sahabat-llama_vllm_zeroshot_basic_test,0.3038624311450039,9668,0.5806,0.3194
sahabat_llama_test,0.2102852512123401,9668,0.6666,0.3194
