qrel,candidates,n_queries,nDCG@10,nDCG@100,Recall@10,Recall@100,MRR
test,bm25_test_top100,960,0.3053,0.4127,0.3961,0.7634,0.3745
test,qwen_test_top100,960,0.0066,0.0141,0.0106,0.0406,0.0093
train,bm25_train_top100,3257,0.3224,0.4270,0.4193,0.7755,0.3893
train,qwen_train_top100,3257,0.0069,0.0127,0.0110,0.0345,0.0100
val,bm25_val_top100,814,0.2939,0.4015,0.3804,0.7431,0.3658
val,qwen_val_top100,814,0.0046,0.0091,0.0065,0.0250,0.0076
qwen_test,bm25_test_top100,960,0.2832,0.4080,0.3112,0.7003,0.4252
qwen_test,qwen_test_top100,960,0.0058,0.0138,0.0078,0.0341,0.0123
qwen_train,bm25_train_top100,3257,0.2927,0.4106,0.3277,0.6939,0.4354
qwen_train,qwen_train_top100,3257,0.0077,0.0147,0.0099,0.0326,0.0151
qwen_val,bm25_val_top100,814,0.2645,0.3841,0.2936,0.6713,0.4092
qwen_val,qwen_val_top100,814,0.0060,0.0116,0.0066,0.0246,0.0131
